2.22122,-6.02745,-13.2756,-9.94458,11.2596
-12.4879,-0.603643,7.40193,9.15661,-7.61719
217.298,53.0824,1.13119,42.6105,-7.8311
-23.1034,1.99679,4.91701,12.5231,-2.992
-17.1878,-14.8094,-12.1986,24.3298,24.4484
31.2337,28.0772,-47.5448,-10.1047,-43.3845
2.28277,1.61889,12.932,-41.0647,-21.767
65.4491,62.9695,237.832,-61.9316,-114.946
-12.1559,54.9207,-114.923,26.4387,-38.5875
0.454379,-21.1439,2.55032,1.12956,-9.78156
-2.41528,-1.2339,-2.81876,-1.24795,0.122797
-69.6223,-50.3672,-46.0714,-98.9066,5.41324
-39.5894,-11.5221,86.5378,9.6021,43.6078
3.02887,1.1608,-5.62355,5.46562,-3.94622
4.59412,-2.39598,-3.57472,0.29924,5.49256
15.7514,10.1038,7.4549,9.72127,9.94227
-42.6455,9.96606,15.1739,26.7281,55.8309
2.40021,-18.3644,-55.876,-24.3879,-62.269
-43.0064,-7.3094,33.7538,-13.6012,-51.2234
-1.74558,18.4833,10.8011,20.8299,8.56332
0.427665,-0.224811,0.397279,-0.0532606,-0.210132
1.18254,-2.31782,0.584453,2.912,3.78719
0.958812,0.519621,0.66716,-0.240568,0.0198268
-3.74822,3.42874,4.64624,4.20479,6.67649
14.2412,8.55513,7.73854,4.30244,-9.04662
12.0553,1.14665,-2.03891,8.63475,-0.612043
-6.77371,-3.01485,2.21139,-0.618365,-2.53353
-6.2487,-2.18814,4.34717,4.65452,10.8673
-14.7775,-26.2111,-15.9016,12.469,-5.36295
-6.76179,-4.35273,-1.4833,-0.262381,-2.37574
