0.001,0.816448,0.999,0.001,0.999,0.129675,nan,0.999,nan,0.265937,0.657205,0.999,0.999,0.999,0.999,0.999,0.001,0.747261,0.999,nan,0.001,0.797116,nan,0.988494,0.999,0.999,0.999,nan,0.001,0.959409,0.999,0.303737,0.999,0.999,0.999,nan,0.999,0.999,0.999,0.976531,0.999,0.001,0.999,0.430087,nan,nan,0.696909,0.839066,0.984743,0.811362,0.845121,0.697423
0.999,0.754095,0.957439,0.001,0.464214,0.999,0.999,0.999,0.999,0.832636,0.30798,0.551119,0.999,0.639621,0.999,0.929392,0.887043,0.001,0.636188,0.542982,0.459806,0.999,0.684008,0.999,0.999,0.999,0.989422,nan,nan,0.861042,nan,0.999,0.250306,0.451293,0.324492,0.634751,0.001,0.001,0.650155,0.999,nan,nan,0.943996,0.886677,0.999,0.999,0.999,0.68183,0.999,0.999,0.001,0.999
0.833969,0.60796,0.999,0.743765,0.999,0.999,0.282427,0.863087,nan,0.654162,0.001,0.999,0.999,0.999,0.165394,0.999,0.998989,0.955738,0.999,0.984121,0.999,0.777948,0.999,0.999,0.999,0.702946,0.0545416,0.714814,0.390874,0.001,0.96858,0.783288,0.999,nan,0.999,0.999,0.001,nan,0.999,0.185827,0.999,0.999,0.999,nan,0.999,0.999,0.999,0.917114,0.525703,0.427992,0.001,0.001
0.160988,0.0788291,0.962715,0.0119334,0.944337,0.120736,0.001,0.999,nan,0.999,0.001,0.999,0.999,0.999,0.855058,0.999,0.999,0.946319,0.989752,0.99574,0.775333,nan,0.644815,nan,0.996839,0.999,0.996037,0.999,0.816469,0.0323827,0.141482,0.999,0.999,0.001,0.999,nan,0.999,0.999,0.999,0.001,0.446978,0.999,0.999,0.374146,0.999,0.669042,0.999,0.999,0.427386,0.528121,0.999,0.999
0.684419,0.999,0.0920942,0.999,0.673631,0.272132,0.999,0.999,0.999,nan,0.37206,0.001,0.001,0.999,0.999,0.913483,0.962027,0.791157,0.001,0.506252,0.314659,0.001,0.999,0.460967,0.999,0.999,0.999,0.001,0.999,0.999,0.999,0.001,0.844074,0.999,0.999,nan,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.91337,0.569071,0.999,0.297735,0.809156,0.999,0.524516,0.999,0.955593
0.0954555,0.629338,0.664914,0.999,0.999,0.874806,0.823576,0.89401,0.220119,0.999,0.962132,0.999,0.826256,0.00911431,nan,0.999,nan,0.111709,0.396549,0.999,0.571907,0.349519,nan,nan,0.999,nan,0.001,0.901349,0.463124,0.482794,0.217445,0.999,0.986455,0.892233,0.837109,0.490926,0.999,0.399372,0.999,0.999,0.999,0.999,0.94214,0.001,0.999,0.999,0.924819,0.754848,0.746215,0.999,0.838839,0.598692
0.999,nan,0.280495,0.406063,0.001,0.999,nan,0.999,0.001,nan,0.164316,0.999,0.0203744,0.472675,nan,0.999,0.999,0.999,0.999,0.999,0.88668,nan,0.999,0.683991,0.763736,0.39457,0.638113,0.001,0.999,0.999,0.999,0.999,0.620119,0.999,0.79238,0.001,nan,nan,0.973164,0.996374,0.999,0.72207,0.999,0.668201,0.0297892,0.999,0.609536,0.999,0.679428,0.001,0.999,0.999
0.999,0.999,0.424537,0.539699,0.999,0.001,0.353579,0.999,0.984612,0.357541,0.0871327,0.551741,0.404725,0.001,0.001,0.24939,0.975018,0.001,0.001,0.999,0.999,nan,0.999,0.999,nan,0.999,0.684162,0.179775,0.146835,0.999,0.0041144,0.829719,0.999,0.455642,0.001,0.994286,0.001,0.999,0.999,0.834256,0.999,0.636783,0.977008,0.548157,0.999,0.999,0.999,0.999,nan,0.999,0.386429,0.001
0.999,0.999,0.999,0.726719,0.999,0.999,0.823156,0.001,0.341395,0.505827,0.001,nan,0.99749,0.999,0.994976,0.210668,0.999,0.667711,0.999,0.999,0.999,0.819919,0.588945,0.98538,0.999,0.728716,nan,0.001,0.999,0.0581507,0.704417,0.999,0.613052,0.620513,0.783314,0.001,0.999,0.510903,0.929914,0.764246,0.999,0.999,0.999,0.822836,0.987447,0.001,0.499639,0.999,0.999,0.999,0.999,0.999
0.893905,0.999,0.999,0.999,0.846858,0.300078,0.001,0.999,0.001,0.996439,0.428,0.999,0.0789164,0.888947,0.999,0.999,0.001,0.999,0.999,0.219214,0.999,0.999,0.846234,0.999,0.001,nan,0.404213,0.511185,0.00109265,0.999,nan,0.999,nan,0.999,0.906303,0.586927,0.999,0.339535,0.998395,0.999,nan,0.0625787,0.874163,nan,0.251005,0.172959,0.856091,0.999,0.996092,0.999,0.999,0.268298
